source_url,source_title,source_sidebar_label,source_h1,source_description,normalized_path,nav_section,converted_file,status,notes
https://developer.zuora.com/announcement/,Announcing the Redesigned Zuora Developer Center,,Announcing the Redesigned Zuora Developer Center: New Features and a Fresh Look,,/announcement,Developer blogs,blogs/announcement.md,excluded,Duplicate of blogs/announcement.md; source retained in mirror.
https://developer.zuora.com/archive/archived-changelog/2022q4-changelog/,2022 Changelog,,2022 Changelog,,/archive/archived-changelog/2022q4-changelog,Documentation,archive/archived-changelog/2022q4-changelog.md,done,Converted from Redocly Markdoc to Mintlify MDX-compatible Markdown.
https://developer.zuora.com/archive/archived-changelog/2023-changelog/,v1 API changelog - 2023,,v1 API changelog - 2023,,/archive/archived-changelog/2023-changelog,Documentation,archive/archived-changelog/2023-changelog.md,done,Converted from Redocly Markdoc to Mintlify MDX-compatible Markdown.
https://developer.zuora.com/blogs/2024-11-18-Q4-Release-Completed/,Q4 Release Complete,Zuora Q4 release complete,Q4 Release Complete,,/blogs/2024-11-18-Q4-Release-Completed,Developer blogs,blogs/2024-11-18-Q4-Release-Completed.md,done,Converted from Redocly Markdoc to Mintlify MDX-compatible Markdown.
https://developer.zuora.com/blogs/2025-2-26-RulesAndLogicInZuora/,Rules and logic in Zuora,Rules and logic in Zuora,Rules and logic in Zuora,,/blogs/2025-2-26-RulesAndLogicInZuora,Developer blogs,blogs/2025-2-26-RulesAndLogicInZuora.md,done,Converted from Redocly Markdoc to Mintlify MDX-compatible Markdown.
https://developer.zuora.com/blogs/2025-2-5-CopilotForAnalytics/,How we built a reliable and secure AI based feature,How we built a reliable and secure AI based feature,How we built a reliable and secure AI based feature,,/blogs/2025-2-5-CopilotForAnalytics,Developer blogs,blogs/2025-2-5-CopilotForAnalytics.md,done,Converted from Redocly Markdoc to Mintlify MDX-compatible Markdown.
https://developer.zuora.com/blogs/2025-3-18-TurningFailureIntoGold/,Turning failure into gold,Turning failures into gold,Turning failure into gold,,/blogs/2025-3-18-TurningFailureIntoGold,Developer blogs,blogs/2025-3-18-TurningFailureIntoGold.md,done,Converted from Redocly Markdoc to Mintlify MDX-compatible Markdown.
https://developer.zuora.com/blogs/2025-3-6-ZuoraAICopilotEvolution/,The Evolution of Zuora’s AI Copilot,The evolution of Zuora's AI Copilot,The Evolution of Zuora’s AI Copilot,,/blogs/2025-3-6-ZuoraAICopilotEvolution,Developer blogs,blogs/2025-3-6-ZuoraAICopilotEvolution.md,done,Converted from Redocly Markdoc to Mintlify MDX-compatible Markdown.
https://developer.zuora.com/blogs/2025-6-3-ZuoraPatentPortfolio/,Zuora's patent portfolio,Zuora's patent portforlio,Zuora's patent portfolio,,/blogs/2025-6-3-ZuoraPatentPortfolio,Developer blogs,blogs/2025-6-3-ZuoraPatentPortfolio.md,done,Converted from Redocly Markdoc to Mintlify MDX-compatible Markdown.
https://developer.zuora.com/blogs/2025-8-19-ZuoraPartnerHackathon/,Unleashing developer innovation at Zuora's Partner Hackathon,Unleashing developer innovation at Zuora's Partner Hackathon,Unleashing developer innovation at Zuora's Partner Hackathon,,/blogs/2025-8-19-ZuoraPartnerHackathon,Developer blogs,blogs/2025-8-19-ZuoraPartnerHackathon.md,done,Converted from Redocly Markdoc to Mintlify MDX-compatible Markdown.
