Setting Key,Context,Http Method,Http URL,Parameter description,Setting description
AccountingRules,Entity,GET,/settings/accounting-rules,,Accounting Rules settings
AccountingRules,Entity,PUT,/settings/accounting-rules,,Accounting Rules settings
AgingBuckets,Entity,GET,/settings/aging-buckets,,Aging Buckets
AgingBuckets,Entity,PUT,/settings/aging-buckets,,Aging Buckets
ApplicationRules,Entity,GET,/settings/application-rules,,Application Rules settings
ApplicationRules,Entity,PUT,/settings/application-rules,,Application Rules settings
AuditTrail,Entity,GET,/settings/audit-trail,,Audit Trail Settings
AuditTrail,Entity,PUT,/settings/audit-trail,,Audit Trail Settings
AuditTrailSettings,Entity,GET,/settings/audit-trail-settings,,Audit Trail Settings
AuditTrailSettings,Entity,PUT,/settings/audit-trail-settings,,Audit Trail Settings
BatchAliases,Entity,GET,/settings/batch-aliases,,Customize Batch Names
BatchAliases,Entity,PUT,/settings/batch-aliases,,Customize Batch Names
BillingCycleType,Entity,GET,/settings/billing-cycle-types,,Define the billing day that your organization uses to charge for service.
BillingCycleType,Entity,PUT,/settings/billing-cycle-types,,Define the billing day that your organization uses to charge for service.
BillingListPriceBase,Entity,GET,/settings/billing-list-price-bases,,Define how your organization specifies list price (e.g. $5 / month  $20 / billing period).
BillingListPriceBase,Entity,PUT,/settings/billing-list-price-bases,,Define how your organization specifies list price (e.g. $5 / month  $20 / billing period).
BillingPeriodStart,Entity,GET,/settings/billing-period-starts,,Define which day in the month you allow your billing periods to start (applicable for billing periods that are integral number of month(s))
BillingPeriodStart,Entity,PUT,/settings/billing-period-starts,,Define which day in the month you allow your billing periods to start (applicable for billing periods that are integral number of month(s))
BillingPeriod,Entity,GET,/settings/billing-periods,,Define the Billing Periods that your organization uses to charge for service.
BillingPeriod,Entity,PUT,/settings/billing-periods,,Define the Billing Periods that your organization uses to charge for service.
BillingRules,Entity,GET,/settings/billing-rules,,Billing Rules settings
BillingRules,Entity,PUT,/settings/billing-rules,,Billing Rules settings
ChargeModels,Entity,GET,/settings/charge-models,,Setting for Charge Models
ChargeModels,Entity,PUT,/settings/charge-models,,Setting for Charge Models
ChargeType,Entity,GET,/settings/charge-types,,Setting for Charge Types
ChargeType,Entity,PUT,/settings/charge-types,,Setting for Charge Types
ChartOfAccounts,Entity,GET,/settings/chart-of-accounts,,Manage Finance Chart Of Accounts
ChartOfAccounts,Entity,POST,/settings/chart-of-accounts,,Manage Finance Chart Of Accounts
ChartOfAccountsItem,Entity,GET,/settings/chart-of-accounts/{id},id = Unique Id of the Chart of Account code,Manage Finance Chart Of Account
ChartOfAccountsItem,Entity,PUT,/settings/chart-of-accounts/{id},id = Unique Id of the Chart of Account code,Manage Finance Chart Of Account
ChartOfAccountsItem,Entity,DELETE,/settings/chart-of-accounts/{id},id = Unique Id of the Chart of Account code,Manage Finance Chart Of Account
AllCommunicationProfiles,Entity,GET,/settings/communication-profiles,,Communication profile settings for Notifications and Callouts
AllCommunicationProfiles,Entity,POST,/settings/communication-profiles,,Communication profile settings for Notifications and Callouts
CommunicationProfileNotification,Entity,GET,/settings/communication-profiles/notifications/{id},id = Unique Id of the Notification,Settings to create/update/delete Notifications for events
CommunicationProfileNotification,Entity,PUT,/settings/communication-profiles/notifications/{id},id = Unique Id of the Notification,Settings to create/update/delete Notifications for events
CommunicationProfileNotification,Entity,DELETE,/settings/communication-profiles/notifications/{id},id = Unique Id of the Notification,Settings to create/update/delete Notifications for events
CommunicationProfile,Entity,GET,/settings/communication-profiles/{id},id = Unique Id of the Communication Profile,Communication profile settings for Notifications and Callouts
CommunicationProfile,Entity,PUT,/settings/communication-profiles/{id},id = Unique Id of the Communication Profile,Communication profile settings for Notifications and Callouts
CommunicationProfile,Entity,DELETE,/settings/communication-profiles/{id},id = Unique Id of the Communication Profile,Communication profile settings for Notifications and Callouts
AllCommunicationProfileNotifications,Entity,GET,/settings/communication-profiles/{id}/notifications,id = Unique Id of the Communication Profile,All notifications belonging to a Communication Profile
AllCommunicationProfileNotifications,Entity,POST,/settings/communication-profiles/{id}/notifications,id = Unique Id of the Communication Profile,All notifications belonging to a Communication Profile
ConfigurableUI,Tenant,GET,/settings/configurable-ui,,Feature flag to enable Configurable UI experience
ConfigurableUI,Tenant,POST,/settings/configurable-ui,,Feature flag to enable Configurable UI experience
ConfigurableUI,Tenant,PUT,/settings/configurable-ui,,Feature flag to enable Configurable UI experience
ConfigurableUI,Tenant,DELETE,/settings/configurable-ui,,Feature flag to enable Configurable UI experience
ConfigurableUISetting,Tenant,GET,/settings/configurable-ui-enabled,,Feature flag to enable Configurable UI experience
ConfigurableUISetting,Tenant,POST,/settings/configurable-ui-enabled,,Feature flag to enable Configurable UI experience
ConfigurableUISetting,Tenant,PUT,/settings/configurable-ui-enabled,,Feature flag to enable Configurable UI experience
ConfigurableUISetting,Tenant,DELETE,/settings/configurable-ui-enabled,,Feature flag to enable Configurable UI experience
ConfigurableUIHomepage,Tenant,GET,/settings/configurable-ui-homepage-enabled,,Feature flag to enable Configurable UI experience for Homepage
ConfigurableUIHomepage,Tenant,POST,/settings/configurable-ui-homepage-enabled,,Feature flag to enable Configurable UI experience for Homepage
ConfigurableUIHomepage,Tenant,PUT,/settings/configurable-ui-homepage-enabled,,Feature flag to enable Configurable UI experience for Homepage
ConfigurableUIHomepage,Tenant,DELETE,/settings/configurable-ui-homepage-enabled,,Feature flag to enable Configurable UI experience for Homepage
AllCreditMemoTemplates,Tenant,GET,/settings/credit-memo-templates,,Setting for all Credit Memo Templates
AllCreditMemoTemplates,Tenant,POST,/settings/credit-memo-templates,,Setting for all Credit Memo Templates
CreditMemoTemplate,Tenant,GET,/settings/credit-memo-templates/{id},id = Unique Id of the Credit Memo Template,Setting for Credit Memo Template
CreditMemoTemplate,Tenant,PUT,/settings/credit-memo-templates/{id},id = Unique Id of the Credit Memo Template,Setting for Credit Memo Template
CreditMemoTemplate,Tenant,DELETE,/settings/credit-memo-templates/{id},id = Unique Id of the Credit Memo Template,Setting for Credit Memo Template
Currency,Entity,GET,/settings/currencies,,Setting for Currency
Currency,Entity,PUT,/settings/currencies,,Setting for Currency
AllCustomFields,Entity,GET,/settings/custom-fields/{namespace},namespace = Name of the custom field namespace,Murano custom fields (not legacy custom fields)
CustomField,Entity,GET,/settings/custom-fields/{namespace}/{type},namespace = Namespace of the Custom Field:type = Type of Custom Field,Murano custom fields (not legacy custom fields) for given namespace
CustomField,Entity,PUT,/settings/custom-fields/{namespace}/{type},namespace = Namespace of the Custom Field:type = Type of Custom Field,Murano custom fields (not legacy custom fields) for given namespace
CustomObjectMigration,Entity,POST,/settings/objects/migrations,,Migration of custom object definitions
AllCustomObjectNamespaces,Entity,GET,/settings/custom-object-namespaces,,Read/create namespaces for Custom Objects
AllCustomObjectNamespaces,Entity,POST,/settings/custom-object-namespaces,,Read/create namespaces for Custom Objects
CustomObjectNamespace,Entity,GET,/settings/custom-object-namespaces/{namespace},namespace = The name of the custom object namespace,Read/delete a namespace for Custom Objects
CustomObjectNamespace,Entity,DELETE,/settings/custom-object-namespaces/{namespace},namespace = The name of the custom object namespace,Read/delete a namespace for Custom Objects
AllCustomObjects,Entity,GET,/settings/custom-objects/{namespace},namespace = The name of the custom object namespace,Read/Create Custom Object definitions
AllCustomObjects,Entity,POST,/settings/custom-objects/{namespace},namespace = The name of the custom object namespace,Read/Create Custom Object definitions
CustomObject,Entity,GET,/settings/custom-objects/{namespace}/{type},namespace = The name of the custom object namespace:type = The type of the custom object definition,Read/Delete a Custom Object Definition
CustomObject,Entity,DELETE,/settings/custom-objects/{namespace}/{type},namespace = The name of the custom object namespace:type = The type of the custom object definition,Read/Delete a Custom Object Definition
DataAccessControl,Entity,GET,/settings/data-access-controls,,Manage hierarchies and control what users can access within your tenant.
DataAccessInfo,Entity,GET,/settings/data-access-info,,Manage hierarchies info (Subset of DataAccess).
DataAccessInfo,Entity,PUT,/settings/data-access-info,,Manage hierarchies info (Subset of DataAccess).
DataAccessHierarchy,Entity,GET,/settings/data-access-tags,,Manage hierarchies definitions (Subset of DataAccess).
DataAccessHierarchy,Entity,POST,/settings/data-access-tags,,Manage hierarchies definitions (Subset of DataAccess).
DataAccessTag,Tenant,GET,/settings/data-access-tags/{id},id = Unique Id of the Hierarchy Definition,Manage hierarchies definitions (Subset of DataAccess).
DataAccessTag,Tenant,PUT,/settings/data-access-tags/{id},id = Unique Id of the Hierarchy Definition,Manage hierarchies definitions (Subset of DataAccess).
DataAccessTag,Tenant,DELETE,/settings/data-access-tags/{id},id = Unique Id of the Hierarchy Definition,Manage hierarchies definitions (Subset of DataAccess).
AllDebitMemoTemplates,Tenant,GET,/settings/debit-memo-templates,,Setting for all Debit Memo Templates
AllDebitMemoTemplates,Tenant,POST,/settings/debit-memo-templates,,Setting for all Debit Memo Templates
DebitMemoTemplate,Tenant,GET,/settings/debit-memo-templates/{id},id = Unique Id of the Debit Memo Template,Setting for Debit Memo Template
DebitMemoTemplate,Tenant,PUT,/settings/debit-memo-templates/{id},id = Unique Id of the Debit Memo Template,Setting for Debit Memo Template
DebitMemoTemplate,Tenant,DELETE,/settings/debit-memo-templates/{id},id = Unique Id of the Debit Memo Template,Setting for Debit Memo Template
DefaultAccountingCodes,Entity,GET,/settings/default-accounting-codes,,API for default rev rec rules and accounting codes
DefaultAccountingCodes,Entity,PUT,/settings/default-accounting-codes,,API for default rev rec rules and accounting codes
DefaultPaymentGateway,Entity,GET,/settings/default-payment-gateways,,Manage Payment Gateways
